Type,Asset,Fee,Funding,Sharpe,Delta,Obs_Delta,P_Value,CI_Lower,CI_Upper
Stress,ETH,10.0,0.0,1.237586251818392,0.2401977642649854,,,,
Stress,ETH,10.0,0.02,1.2165018531331373,0.2191133655797307,,,,
Stress,ETH,10.0,0.04,1.1954145337576791,0.19802604620427255,,,,
Stress,ETH,25.0,0.0,1.2285670033531253,0.2311785157997187,,,,
Stress,ETH,25.0,0.02,1.2074828450427497,0.21009435748934313,,,,
Stress,ETH,25.0,0.04,1.1863957747015443,0.18900728714813775,,,,
Stress,ETH,50.0,0.0,1.2134795444491173,0.21609105689571073,,,,
Stress,ETH,50.0,0.02,1.1923967642981617,0.19500827674475507,,,,
Stress,ETH,50.0,0.04,1.171311086949767,0.17392259939636034,,,,
Bootstrap,ETH,,,,,0.2401977642649854,0.2082,-0.32174872870032983,0.8140045475374545
Stress,SOL,10.0,0.0,1.0009354553091052,0.19891734227693358,,,,
Stress,SOL,10.0,0.02,0.9871066726056428,0.18508855957347115,,,,
Stress,SOL,10.0,0.04,0.9732762415738239,0.17125812854165223,,,,
Stress,SOL,25.0,0.0,0.9721348091211048,0.1701166960889332,,,,
Stress,SOL,25.0,0.02,0.9583119888267725,0.15629387579460086,,,,
Stress,SOL,25.0,0.04,0.9444875413206366,0.14246942828846498,,,,
Stress,SOL,50.0,0.0,0.9240835703304371,0.12206545729826546,,,,
Stress,SOL,50.0,0.02,0.9102724270307971,0.1082543139986255,,,,
Stress,SOL,50.0,0.04,0.8964596921790601,0.09444157914688844,,,,
Bootstrap,SOL,,,,,0.19891734227693358,0.2729,-0.4661186853671188,0.8914887507328416
Stress,SPY,10.0,0.0,0.4585043471849891,0.032535056622672476,,,,
Stress,SPY,10.0,0.02,0.30973301794779173,-0.1162362726145249,,,,
Stress,SPY,10.0,0.04,0.16091507499474564,-0.265054215567571,,,,
Stress,SPY,25.0,0.0,0.42048992684395603,-0.005479363718360608,,,,
Stress,SPY,25.0,0.02,0.27178875343987596,-0.15418053712244068,,,,
Stress,SPY,25.0,0.04,0.12304205568170412,-0.3029272348806125,,,,
Stress,SPY,50.0,0.0,0.35690517180046627,-0.06906411876185037,,,,
Stress,SPY,50.0,0.02,0.20845003044669486,-0.21751926011562178,,,,
Stress,SPY,50.0,0.04,0.05995128742864599,-0.36601800313367067,,,,
Bootstrap,SPY,,,,,0.032535056622672476,0.4024,-0.22333093476772173,0.29436548132834656
