N_vol,Sigma_Target,W_max,Final_Equity,CAGR,Sharpe,Calmar,Avg_Exposure,Median_Exp,P90_Exp
60,0.3,1.5,2617.8680601093074,20.341920355755995,0.8259686271446288,0.6373785332020775,0.33179600298776446,0.3763853908368362,0.6462235215610661
60,0.3,2.0,2617.8680601093074,20.341920355755995,0.8259686271446288,0.6373785332020775,0.33179600298776446,0.3763853908368362,0.6462235215610661
60,0.3,3.0,2617.8680601093074,20.341920355755995,0.8259686271446288,0.6373785332020775,0.33179600298776446,0.3763853908368362,0.6462235215610661
60,0.4,1.5,3324.9541518383708,26.007470114560704,0.8259686271446289,0.6235731774196991,0.4423946706503527,0.5018471877824483,0.8616313620814215
60,0.4,2.0,3324.9541518383708,26.007470114560704,0.8259686271446289,0.6235731774196991,0.4423946706503527,0.5018471877824483,0.8616313620814215
60,0.4,3.0,3324.9541518383708,26.007470114560704,0.8259686271446289,0.6235731774196991,0.4423946706503527,0.5018471877824483,0.8616313620814215
60,0.6,1.5,4724.483511787198,34.81924443521536,0.8281990743826043,0.5904254669748765,0.6515047399286517,0.7527707816736724,1.2924470431221322
60,0.6,2.0,4747.687532523127,34.9463974668345,0.8259686271446288,0.5925815846416647,0.6635920059755289,0.7527707816736724,1.2924470431221322
60,0.6,3.0,4747.687532523127,34.9463974668345,0.8259686271446288,0.5925815846416647,0.6635920059755289,0.7527707816736724,1.2924470431221322
120,0.3,1.5,2748.498036629678,21.474729931773552,0.8794687064896891,0.7381623906432864,0.3245613865365892,0.36815521886478886,0.597035110405053
120,0.3,2.0,2748.498036629678,21.474729931773552,0.8794687064896891,0.7381623906432864,0.3245613865365892,0.36815521886478886,0.597035110405053
120,0.3,3.0,2748.498036629678,21.474729931773552,0.8794687064896891,0.7381623906432864,0.3245613865365892,0.36815521886478886,0.597035110405053
120,0.4,1.5,3565.7248749398254,27.713924048239402,0.8794687064896889,0.7232815404895895,0.432748515382119,0.49087362515305183,0.796046813873404
120,0.4,2.0,3565.7248749398254,27.713924048239402,0.8794687064896889,0.7232815404895895,0.432748515382119,0.49087362515305183,0.796046813873404
120,0.4,3.0,3565.7248749398254,27.713924048239402,0.8794687064896889,0.7232815404895895,0.432748515382119,0.49087362515305183,0.796046813873404
120,0.6,1.5,5233.151905885252,37.498064198924254,0.8744668365057895,0.6815230753079007,0.6435047671451816,0.7363104377295777,1.194070220810106
120,0.6,2.0,5353.3615195526645,38.10021637671597,0.8794687064896891,0.6924671230282012,0.6491227730731784,0.7363104377295777,1.194070220810106
120,0.6,3.0,5353.3615195526645,38.10021637671597,0.8794687064896891,0.6924671230282012,0.6491227730731784,0.7363104377295777,1.194070220810106
180,0.3,1.5,2866.92415099213,22.46472873591141,0.9167309380098146,0.7713181286963571,0.31817041089132164,0.36538666783487034,0.6248604203133201
180,0.3,2.0,2866.92415099213,22.46472873591141,0.9167309380098146,0.7713181286963571,0.31817041089132164,0.36538666783487034,0.6248604203133201
180,0.3,3.0,2866.92415099213,22.46472873591141,0.9167309380098146,0.7713181286963571,0.31817041089132164,0.36538666783487034,0.6248604203133201
180,0.4,1.5,3777.404629433211,29.138953995128492,0.9167309380098143,0.7601432787051948,0.4242272145217622,0.4871822237798272,0.8331472270844269
180,0.4,2.0,3777.404629433211,29.138953995128492,0.9167309380098143,0.7601432787051948,0.4242272145217622,0.4871822237798272,0.8331472270844269
180,0.4,3.0,3777.404629433211,29.138953995128492,0.9167309380098143,0.7601432787051948,0.4242272145217622,0.4871822237798272,0.8331472270844269
180,0.6,1.5,5771.689246253553,40.11401833110906,0.9127009857529697,0.72946041210318,0.6348655065491022,0.7307733356697407,1.2497208406266402
180,0.6,2.0,5862.390347551989,40.535014444351305,0.9167309380098146,0.7371160898696063,0.6363408217826433,0.7307733356697407,1.2497208406266402
180,0.6,3.0,5862.390347551989,40.535014444351305,0.9167309380098146,0.7371160898696063,0.6363408217826433,0.7307733356697407,1.2497208406266402
